Allangigan,
Aludaid,
Bacsayan,
Balballosa,
Bambanay,
Bugbugcao,
Caarusipan,
Cabaroan,
Cabugnayan,
Cacapian,
Caculangan,
Calincamasan,
Casilagan,
Catdongan,
Dangdangla,
Dasay,
Dinanum,
Duplas,
Guinguinabang,
Ili Norte,
Ili Sur,
Legleg,
Lubing,
Nadsaag,
Nagsabaran,
Naguirangan,
Naguituban,
Nagyubuyuban,
Oaquing,
Pacpacac,
Pagdildilan,
Panicsican,
Quidem,
San Felipe,
Santa Rosa,
Santo Rosario,
Saracat,
Sinapangan,
Taboc,
Talogtog,
Urbiztondo,
